Model,Accuracy,Precision,Recall,F1-score
Linear SVM,0.9867248590652846,0.9866107812318081,0.9878759617626487,0.9872429661559969
Logistic Regression,0.9838758562162817,0.9832558139534884,0.9857775705292608,0.9845150774246129
Random Forest,0.9829665999878766,0.9861713348177663,0.9809979016087667,0.98357781544036
Multinomial Naive Bayes,0.9593865551312359,0.9868259049495198,0.9343669853112614,0.9598802395209581
